domain,difficulty,question,answer,label
Full Stack Development,Hard,How would you implement end-to-end type safety in a full-stack TypeScript application?,"Full Stack Development is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. At scale, this aspect of Full Stack Development requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
GCP,Medium,How does Google Cloud Armor protect against DDoS attacks?,This concept in GCP is fundamental to building production-grade systems. This is a feature in GCP that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Cloud Computing,Hard,How would you build a cloud cost attribution system that accurately charges back to 100 teams?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Cloud Computing specifically and is primarily used in telecommunications infrastructure for signal amplification. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Python,Medium,Explain Python's MRO (Method Resolution Order) with an example.,"Python is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in Python allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
DevOps,Easy,What is Jenkins?,"In the context of DevOps, this is a well-established technique that solves a common engineering challenge. This is a feature in DevOps that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
DBMS,Hard,Design a globally distributed database that maintains strong consistency with minimal latency.,"This concept belongs to a completely different technical domain and is not applicable to DBMS. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
DBMS,Easy,What is a Database Management System (DBMS)?,"A DBMS (Database Management System) is software that provides an interface for users and applications to create, manage, and interact with databases. It handles data storage, retrieval, security, integrity, concurrency control, and backup. Key functions include: data definition (schema creation), data manipulation (CRUD operations), data security and access control, transaction management (ACID properties), and data recovery. Examples include Oracle, MySQL, PostgreSQL, MongoDB, and Cassandra. DBMS reduces data redundancy and ensures data consistency.",correct
AWS,Easy,What is AWS IAM used for?,"AWS IAM (Identity and Access Management) is used to securely control access to AWS services and resources. This is related to AWS and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Java,Hard,Design a high-throughput event sourcing system in Java using Disruptor.,"In Java, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Machine Learning,Medium,What is transfer learning and when would you use it?,"In the context of Machine Learning, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Machine Learning allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Data Science,Medium,What is time series decomposition?,"Data Science is a core technology used in modern software systems. This is related to Data Science and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Linux,Easy,What is the difference between apt and yum?,"In Linux, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
AWS,Hard,Describe a strategy for cost optimization across 50+ AWS accounts using Organizations.,"This concept in AWS is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. At scale, this aspect of AWS requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Azure,Hard,How would you migrate a 500TB on-premises database to Azure with minimal downtime?,"In the context of Azure, this is a well-established technique that solves a common engineering challenge. This is a feature in Azure that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
Full Stack Development,Easy,What is a web framework?,This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Full Stack Development specifically and is primarily used in telecommunications infrastructure for signal amplification. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
GCP,Easy,What is Google Cloud Storage?,"In the context of GCP, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in GCP that every practitioner should understand before moving to more advanced topics.",correct
Azure,Medium,How do Azure VNet Peering and VPN Gateway differ?,"In the context of Azure, this is a well-established technique that solves a common engineering challenge. In Azure, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Linux,Medium,What is the OOM killer in Linux and when does it trigger?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Linux specifically and is primarily used in telecommunications infrastructure for signal amplification. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cloud Computing,Easy,What are the three main cloud service models?,"This concept in Cloud Computing is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. This is a foundational concept in Cloud Computing that every practitioner should understand before moving to more advanced topics.",correct
SQL,Easy,What is the difference between INNER JOIN and LEFT JOIN?,"SQL is a core technology used in modern software systems. In SQL, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
SQL,Medium,How would you identify and resolve a slow SQL query in production?,"This refers to a deprecated protocol that was used in legacy SQL systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Java,Medium,What is the purpose of Java's volatile keyword?,"This concept in Java is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in Java allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Data Science,Hard,Design a causal inference framework to measure the true impact of a product change.,"In the context of Data Science, this is a well-established technique that solves a common engineering challenge. This is related to Data Science and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Python,Easy,What is a Python generator?,This concept belongs to a completely different technical domain and is not applicable to Python. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
Full Stack Development,Medium,How does JWT authentication work in a full-stack application?,"Full Stack Development is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in Full Stack Development allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Networking,Easy,What is HTTP and HTTPS?,"In the context of Networking, this is a well-established technique that solves a common engineering challenge. This is a feature in Networking that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
Networking,Medium,Explain how ARP resolves IP addresses to MAC addresses.,"This concept belongs to a completely different technical domain and is not applicable to Networking. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cyber Security,Easy,What is the difference between a virus and a worm?,"In the context of Cyber Security, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in Cyber Security that every practitioner should understand before moving to more advanced topics.",correct
Networking,Hard,"Design a software-defined networking (SDN) architecture for a 10,000-node data center.","Networking is a core technology used in modern software systems. In Networking, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
DevOps,Medium,Explain how service mesh (Istio) improves microservice communication.,"This refers to a deprecated protocol that was used in legacy DevOps systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Data Science,Easy,What is a histogram used for?,"In the context of Data Science, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in Data Science that every practitioner should understand before moving to more advanced topics.",correct
Cyber Security,Hard,Design a secure software development lifecycle (SSDLC) for a fintech organization.,"Cyber Security is a core technology used in modern software systems. This is related to Cyber Security and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
DBMS,Medium,What is the difference between a B-tree and a B+ tree index?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with DBMS specifically and is primarily used in telecommunications infrastructure for signal amplification. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cyber Security,Medium,Explain the difference between symmetric and asymmetric encryption.,"This concept in Cyber Security is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in Cyber Security allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Machine Learning,Hard,Design an ML pipeline that handles concept drift in production over 2 years.,"In the context of Machine Learning, this is a well-established technique that solves a common engineering challenge. In Machine Learning, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Azure,Easy,What is Azure Virtual Machine?,This concept belongs to a completely different technical domain and is not applicable to Azure. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
Python,Hard,Implement a Python metaclass that enforces the Singleton pattern thread-safely.,"Python is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. At scale, this aspect of Python requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Java,Easy,"What is the difference between JDK, JRE, and JVM?",Java is a core technology used in modern software systems. This is a feature in Java that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
DevOps,Hard,Design a self-healing Kubernetes platform that automatically remediates common failure modes.,"In DevOps, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Machine Learning,Easy,What is the difference between supervised and unsupervised learning?,"This concept in Machine Learning is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. This is a foundational concept in Machine Learning that every practitioner should understand before moving to more advanced topics.",correct
SQL,Hard,Explain how to rewrite a complex correlated subquery using window functions for performance.,"In the context of SQL, this is a well-established technique that solves a common engineering challenge. In SQL, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
GCP,Hard,Explain how to architect a federated learning system on GCP for privacy-preserving ML.,"This concept belongs to a completely different technical domain and is not applicable to GCP. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Cloud Computing,Medium,What is FinOps and why is it important for cloud cost management?,"In the context of Cloud Computing, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Cloud Computing allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
AWS,Medium,What is the purpose of AWS Elastic Beanstalk?,AWS is a core technology used in modern software systems. This is a feature in AWS that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Linux,Hard,How does eBPF work and how would you use it for production observability?,"In Linux, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Full Stack Development,Hard,How would you architect a full-stack application to serve 1 million concurrent users?,"This concept in Full Stack Development is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. At scale, this aspect of Full Stack Development requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
GCP,Medium,What is the difference between GCP Preemptible VMs and Spot VMs?,"In the context of GCP, this is a well-established technique that solves a common engineering challenge. This is a feature in GCP that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
Cloud Computing,Hard,"Design a cloud-agnostic architecture that can run on AWS, Azure, and GCP without changes.","This refers to a deprecated protocol that was used in legacy Cloud Computing systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Python,Medium,How does Python's asyncio event loop work?,"Python is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in Python allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
