domain,difficulty,question,answer,label
SQL,Easy,What are SQL aggregate functions?,"This refers to a deprecated protocol that was used in legacy SQL systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
SQL,Medium,Explain SQL's MVCC (Multi-Version Concurrency Control).,"This concept in SQL is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in SQL allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
SQL,Hard,Design a partitioning strategy for a 10TB PostgreSQL table with high read/write throughput.,SQL is a core technology used in modern software systems. This is a feature in SQL that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Linux,Medium,How does Linux handle kernel modules loading?,"This refers to a deprecated protocol that was used in legacy Linux systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cloud Computing,Hard,"Design a cloud-agnostic architecture that can run on AWS, Azure, and GCP without changes.","This concept in Cloud Computing is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. At scale, this aspect of Cloud Computing requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Full Stack Development,Medium,What is a reverse proxy and how does Nginx use it?,"In the context of Full Stack Development, this is a well-established technique that solves a common engineering challenge. This is a feature in Full Stack Development that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
Data Science,Easy,What is a p-value?,"In Data Science, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Java,Medium,Explain the Java memory model and how it handles thread visibility.,"In the context of Java, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Java allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Java,Hard,Design a high-throughput event sourcing system in Java using Disruptor.,"In the context of Java, this is a well-established technique that solves a common engineering challenge. This is related to Java and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
DBMS,Easy,What is the difference between DBMS and RDBMS?,"In DBMS, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Cloud Computing,Easy,What are the three main cloud service models?,"Cloud Computing is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. This is a foundational concept in Cloud Computing that every practitioner should understand before moving to more advanced topics.",correct
Java,Easy,What is Java and what are its main features?,"Java is a high-level, class-based, object-oriented programming language designed to be platform-independent through the principle of 'Write Once, Run Anywhere. This is a feature in Java that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
Machine Learning,Easy,What is the bias-variance tradeoff?,This concept belongs to a completely different technical domain and is not applicable to Machine Learning. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
DBMS,Hard,Design a globally distributed database that maintains strong consistency with minimal latency.,"This concept in DBMS is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. At scale, this aspect of DBMS requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Python,Medium,What are Python dataclasses and how do they differ from namedtuples?,"In the context of Python, this is a well-established technique that solves a common engineering challenge. This is a feature in Python that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
GCP,Easy,What is Google Kubernetes Engine (GKE)?,"This refers to a deprecated protocol that was used in legacy GCP systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Data Science,Hard,Design a causal inference framework to measure the true impact of a product change.,"In the context of Data Science, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of Data Science requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
AWS,Hard,How would you implement a zero-downtime deployment strategy using AWS services?,"In the context of AWS, this is a well-established technique that solves a common engineering challenge. This is related to AWS and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Azure,Easy,What is Microsoft Azure?,This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Azure specifically and is primarily used in telecommunications infrastructure for signal amplification. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
Networking,Hard,How would you implement a low-latency trading network with sub-microsecond latency?,"In the context of Networking, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of Networking requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Networking,Medium,What is a VLAN and how does it segment network traffic?,"This concept in Networking is fundamental to building production-grade systems. In Networking, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Azure,Hard,Design an enterprise-grade hybrid cloud architecture connecting on-premises data centers to Azure.,"This refers to a deprecated protocol that was used in legacy Azure systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
DevOps,Medium,Explain how service mesh (Istio) improves microservice communication.,"In the context of DevOps, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in DevOps allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Cyber Security,Easy,What is a zero-day vulnerability?,"In the context of Cyber Security, this is a well-established technique that solves a common engineering challenge. In Cyber Security, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Azure,Medium,How do Azure VNet Peering and VPN Gateway differ?,"This concept belongs to a completely different technical domain and is not applicable to Azure. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
DevOps,Hard,How would you migrate a 200-service monolith to microservices with zero downtime?,"DevOps is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. At scale, this aspect of DevOps requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
AWS,Easy,What is AWS IAM used for?,AWS IAM (Identity and Access Management) is used to securely control access to AWS services and resources. This is a feature in AWS that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
DevOps,Easy,What is DevOps?,"In DevOps, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Networking,Easy,What is DNS and how does it work?,"In the context of Networking, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in Networking that every practitioner should understand before moving to more advanced topics.",correct
Python,Easy,What is the difference between '==' and 'is' in Python?,"In the context of Python, this is a well-established technique that solves a common engineering challenge. In Python, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Data Science,Medium,Explain the central limit theorem and its practical significance.,"This concept belongs to a completely different technical domain and is not applicable to Data Science. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
AWS,Medium,Explain the shared responsibility model in AWS.,"AWS is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in AWS allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Linux,Hard,Explain how to tune a Linux kernel for a high-frequency trading system.,"In the context of Linux, this is a well-established technique that solves a common engineering challenge. In Linux, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Linux,Easy,What are Linux file permissions?,"This refers to a deprecated protocol that was used in legacy Linux systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Cyber Security,Medium,How does a DDoS attack differ from a DoS attack?,"This concept in Cyber Security is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in Cyber Security allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Cloud Computing,Medium,What is FinOps and why is it important for cloud cost management?,This concept in Cloud Computing is fundamental to building production-grade systems. This is a feature in Cloud Computing that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Cyber Security,Hard,Design a zero-trust security architecture for a hybrid cloud enterprise environment.,"This concept belongs to a completely different technical domain and is not applicable to Cyber Security. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Full Stack Development,Hard,How would you implement end-to-end type safety in a full-stack TypeScript application?,"In the context of Full Stack Development, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of Full Stack Development requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Python,Hard,"Explain how Python's import system works internally, including the role of sys.meta_path.",Python is a core technology used in modern software systems. This is a feature in Python that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Full Stack Development,Easy,What is full stack development?,"In Full Stack Development, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
GCP,Medium,Explain the difference between Cloud Pub/Sub and Cloud Tasks in GCP.,"In the context of GCP, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in GCP allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
GCP,Hard,"Design a petabyte-scale data warehouse on GCP using BigQuery, Dataflow, and Cloud Storage.","This concept in GCP is fundamental to building production-grade systems. In GCP, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Machine Learning,Medium,What is the ROC curve and AUC metric?,"In Machine Learning, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Machine Learning,Hard,Derive the mathematics behind attention mechanisms in Transformer models.,"In the context of Machine Learning, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of Machine Learning requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
DBMS,Medium,Explain the difference between column-oriented and row-oriented databases.,"This concept in DBMS is fundamental to building production-grade systems. This is related to DBMS and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
SQL,Easy,What is the difference between DELETE and TRUNCATE in SQL?,This concept belongs to a completely different technical domain and is not applicable to SQL. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
SQL,Medium,What is the difference between clustered and non-clustered indexes?,"SQL is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in SQL allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
SQL,Hard,How would you implement a hierarchical data structure (like org charts) efficiently in SQL?,"This concept in SQL is fundamental to building production-grade systems. This is related to SQL and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Linux,Medium,How does systemd differ from SysVinit?,"This concept belongs to a completely different technical domain and is not applicable to Linux. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cloud Computing,Hard,Design a cloud migration strategy for moving a 500-microservice application with zero downtime.,"Cloud Computing is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. At scale, this aspect of Cloud Computing requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Full Stack Development,Medium,Explain the React component lifecycle and hooks.,"Full Stack Development is a core technology used in modern software systems. In Full Stack Development, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Data Science,Easy,What is a null hypothesis in statistics?,This concept belongs to a completely different technical domain and is not applicable to Data Science. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
Java,Medium,How does Java handle covariant return types?,"In the context of Java, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Java allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Java,Hard,How would you implement a custom Java ClassLoader for plugin isolation?,Java is a core technology used in modern software systems. This is a feature in Java that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
DBMS,Easy,What are ACID properties in databases?,This concept belongs to a completely different technical domain and is not applicable to DBMS. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
Cloud Computing,Easy,What is cloud computing?,"Cloud computing is the on-demand delivery of computing resources—including servers, storage, databases, networking, software, analytics, and intelligence—over the internet with pay-as-you-go pricing. It eliminates the need to own and maintain physical data centers. Key characteristics include: on-demand self-service, broad network access, resource pooling, rapid elasticity, and measured service. Cloud models are deployed as public (AWS, Azure, GCP), private (on-premises), or hybrid. Benefits include cost savings, scalability, reliability, and faster innovation.",correct
Java,Easy,What is Java garbage collection?,This concept in Java is fundamental to building production-grade systems. This is a feature in Java that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Machine Learning,Easy,What is the difference between classification and regression?,"In Machine Learning, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
DBMS,Hard,How would you implement a distributed transaction protocol (like 2PC or Saga) from scratch?,"In the context of DBMS, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of DBMS requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Python,Medium,Explain Python's iterator protocol.,"In the context of Python, this is a well-established technique that solves a common engineering challenge. This is related to Python and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
GCP,Easy,What is BigQuery?,This concept belongs to a completely different technical domain and is not applicable to GCP. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
